#,What is your Artist name? ,Have you heard of botted playlists and fake streams before? ,Are you aware of how botted playlists and fake streams can affect your career?,Were you aware that several agencies use botted playlists and pay for fake streams for their artists?,Did you know that when you use botted playlists or fake streams you are at risk of having your music removed from Spotify?,Do you know about algorithmic playlists such as 'Discover Weekly' and 'Release Radar'?,Did you know that Liberty Music PR does not work with botted / fake playlists?,Did you know that Liberty Music PR only uses organic playlists and is a trusted agency when it comes to playlisting services? ,Response Type,Start Date (UTC),Stage Date (UTC),Submit Date (UTC),Network ID,Tags,Ending
b0gpa96yx681hlirc73b0goeqprhdt3r,Obani,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-08-13 12:50:41,,2025-08-13 12:51:39,be7726488f,,
wmt4kfhzfpi1uip12vwmt4t574vun3xc,A. Y. Resonance,Yes,No,Yes,Yes,Yes,Yes,Yes,completed,2025-08-13 12:38:27,,2025-08-13 12:39:39,4aba629477,,
o3uvwpagfgeiauogo3uvwj40bsair0ss,Autonym,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-08-13 10:23:56,,2025-08-13 10:24:35,986b855dd2,,
r0tjo6zp7yakuaui2r0tjozp536n3x27,Kamo Da Kid,Yes,Yes,Yes,No,Yes,Yes,Yes,completed,2025-08-12 20:14:09,,2025-08-12 20:14:31,807122e150,,
3l618enbw26m1nwg6mj3l618eujcrri4,ajoshd,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-08-11 15:41:58,,2025-08-11 15:42:25,e3f3010f7f,,
g2p1l74t5ijxpdwnb44g2p1l7o15lg8w,Rocky Michaels,Yes,No,Yes,Yes,No,Yes,Yes,completed,2025-08-11 03:40:28,,2025-08-11 03:41:00,1e7e5395f9,,
gwmhyq645j0cbonrrdevhagwmhyq64i6,Rocky Michaels,Yes,No,Yes,Yes,No,Yes,Yes,completed,2025-08-11 03:39:21,,2025-08-11 03:40:17,1e7e5395f9,,
zc372v4nfq4n979cwjr5rzc372vl2nb2,Yasmin,Yes,Yes,No,Yes,Yes,Yes,Yes,completed,2025-08-01 19:22:49,,2025-08-01 19:23:17,a17f2c41ee,,
fajktgew1lnvlfmfajy9p1lxrsbk85z7,Need Soft,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-07-31 15:13:59,,2025-07-31 15:14:44,eef528dc8d,,
q0ohk4ayhpu0tvgq0ohtho04r6nl58en,Space Buns,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-07-29 21:10:24,,2025-07-29 21:10:56,55ad40cbbf,,
f19vlq0262fimacstf19v49siemkxiqd,Lane Lowder,Yes,Yes,No,No,No,Yes,Yes,completed,2025-07-29 16:26:02,,2025-07-29 16:26:41,f7d6a8218c,,
hwtoxmy7at2fgldv6t3hwtoxfk637hzf,Lane Lowder,Yes,Yes,No,No,No,Yes,Yes,completed,2025-07-29 16:24:40,,2025-07-29 16:25:50,f7d6a8218c,,
92ojb08bynjmtmatw792ojbtnkkp4hps,Elemental,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-07-28 21:04:42,,2025-07-28 21:05:00,2301f48b29,,
el17cqdu4c9hbh1a64el17cqqcrzcu2k,Element5l,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-07-28 21:03:20,,2025-07-28 21:04:08,2301f48b29,,
hfbxgdczpkahgf5r8dyhfbxgm75xw9m7,Tim Atkins,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-07-28 12:15:02,,2025-07-28 12:15:47,9a18f2e184,,
o1c2fsol8evelz1wg3pgpqo1c2fsogop,Jonny Amoral,No,No,Yes,Yes,Yes,Yes,Yes,completed,2025-07-28 08:36:41,,2025-07-28 08:37:30,2a748a3b01,,
fs27c6z1irigdmi80fs27hah7oilio4j,Suburbia,Yes,No,Yes,No,Yes,Yes,Yes,completed,2025-07-25 02:34:38,,2025-07-25 02:36:05,5640f3fbd7,,
bf4nut8adv6obf4nrmhnsu3phom0w609,Bootie Brown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-07-23 18:35:31,,2025-07-23 18:36:10,3a32426648,,
uikyoifp82nblb1uire1p52ej2by7t2r,Bootie Brown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-07-23 18:34:27,,2025-07-23 18:35:20,3a32426648,,
gj7e4mk30jebman6zwmdbgj7e4mu1q0m,Elfi,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-07-21 19:09:20,,2025-07-21 20:31:42,79a15e6e95,,
p19xajyzx09i4waxk8p19xm93ls0jd3g,Don't Tell John,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-07-21 16:13:27,,2025-07-21 16:13:58,b621335518,,
uiy1fs23zixwb5f5jkuiy1fs7a5i0sah,Goodwin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-07-20 14:38:33,,2025-07-20 14:39:10,2088f519a4,,
fojuspvswukxrwad28yfojuspvsf9a6a,Jason Busteed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-07-20 13:03:23,,2025-07-20 13:04:01,e2b2f2c38c,,
5toj0jv9etcfmqkq5tojw7lkrxp2rqfd,Jay Productions,No,Yes,No,No,No,No,No,completed,2025-07-15 10:22:01,,2025-07-15 10:22:45,f42f003775,,
nuxkdg3hxjxpq8q4xnux4u2jwovhys3f,NeeCee,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-07-14 22:43:57,,2025-07-14 22:44:31,8da8c5335b,,
3xv7b948acmv93xv7mlhjbc8ua0nk73j,Energy Whores,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-07-10 18:43:17,,2025-07-10 18:44:02,d177367393,,
jet9qqor2kvtklyzopzvjet9qqh0854z,OLLIE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-07-10 12:45:04,,2025-07-10 12:46:11,9d6b240e31,,
o4jq88m8bufby5ggo4jqvykhs0thj82k,Paloma León,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-07-09 17:37:32,,2025-07-09 17:37:55,7700a6da1b,,
zllojh53txgawl0kizllojh5qg06udm9,Paloma León,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-07-09 17:36:46,,2025-07-09 17:37:24,7700a6da1b,,
g8kt9c3f22sehcx3b3p2f9g8kt9cgbx3,Westerly,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-07-08 22:46:51,,2025-07-08 22:47:37,a4055acfa8,,
tfkm9cqrww1503l0u0tfkm9fhoxvhqnq,The Lovekiller,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-07-07 21:20:47,,2025-07-07 21:22:36,b90c117470,,
4hf1hjid4vnkacj59aedfx34hf1h0cp1,Paul Lynch,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-07-05 18:53:02,,2025-07-05 18:53:36,bc35925552,,
uzqg57fqnndxndc8ruzqgickbxhs89eh,Jazzy Tha Rapper,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-07-04 15:05:28,,2025-07-04 15:06:10,5afa3186bb,,
vqu74mqoylu44yswvqu74ugdpbcmg2ne,Claraty,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-07-03 05:53:26,,2025-07-03 05:53:59,a83359bd81,,
ufpdzmv3pgxkbx6atwuj2ufpdzmqu0oa,Attaboy,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-07-02 20:25:22,,2025-07-02 20:25:51,37cef92530,,
ixev0hfwczvwpi0sol2ixev05ei0cw23,Noah & The Void,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-06-28 18:28:24,,2025-06-28 18:29:05,335416ae00,,
yksjuhnw289i5oyksj3aohwvebil1u42,The Mack Brothers,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-06-27 17:38:55,,2025-06-27 17:39:34,e5bbfaf74b,,
g03assw7ritxlpjgsjajiag03assw7rk,Cold Beaches,Yes,No,Yes,Yes,Yes,No,No,completed,2025-06-26 23:29:13,,2025-06-26 23:29:55,2ab02cf2fb,,
7fcw8hza7wgjcnidg2bx7fcwt25ssckh,North By Some Miles,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-06-25 12:10:54,,2025-06-25 12:11:39,c00de71b51,,
wxhluas3rs1gv5h5wxhl7v4deugr1tfd,Maberry,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-06-24 16:20:49,,2025-06-24 16:21:05,80648131e6,,
hv89bi5utxsgviz6hv89bs67ok88od1g,Maberry,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-06-24 04:16:24,,2025-06-24 04:17:02,80648131e6,,
hkwayaiac1q1f6apr0ihkwayai3szalm,The Horizons,Yes,No,Yes,Yes,Yes,Yes,Yes,completed,2025-06-23 19:48:39,,2025-06-23 19:49:32,dd01ae0859,,
w5anps53d24q3jz03wlw5anps4mcq2r4,Quick on the drawing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-06-22 12:37:22,,2025-06-22 12:38:04,3f302a89cc,,
7zh5eeow9r2i1btug4pf87zh5eejepye,sarya,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-06-20 02:22:09,,2025-06-20 02:22:30,b30e3e34c4,,
piw0x1e1of4oepi5tj4we8bwlwtu1y5t,Josh Beer,Yes,No,Yes,Yes,Yes,Yes,Yes,completed,2025-06-18 10:05:07,,2025-06-18 10:06:05,821b216611,,
28qi5fxh024ypqn28hc9nyq9rr7yl6k3,meelu,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-06-17 12:15:51,,2025-06-17 12:16:17,a17be73c8c,,
i4y0q19rnwbdjrb65i4y04z64qaf5a8r,Nayth McQueen,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-06-13 18:43:28,,2025-06-13 18:44:36,3c97e18b17,,
y37p60bv5khby4ibsky37pwy82a51jo5,ASH BABY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-06-12 10:10:35,,2025-06-12 10:11:28,d942072abf,,
431vu74dcbcb33oygj431vr6n7vqefwb,Shawn Tuck,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-06-11 23:17:11,,2025-06-11 23:18:12,7a8b96d231,,
wwt2j41vwcx48szmnniummwwt2j41puo,Japhet,No,Yes,,Yes,Yes,Yes,Yes,completed,2025-06-10 18:08:56,,2025-06-10 18:09:22,bce6a8da47,,
ttdilu9zg8n0vk2l3qn3ttdilu9tjdmg,The Down Bads,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-06-10 16:49:32,,2025-06-10 16:50:11,98b7bb68d4,,
jvsfk9q34xevidcqujvsf1b0c28ecru5,Pseudopomp,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-06-08 19:59:49,,2025-06-08 20:00:29,a6b7356c22,,
bfnl3n10s63xw3lo8696ubfnl3n1rpym,Ellette,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-06-03 19:15:31,,2025-06-03 19:16:23,696782c174,,
u9lv6b0cmeyfirg2u9lyks8ofkkppd24,Unlike Us,Yes,Yes,Yes,Yes,No,Yes,Yes,completed,2025-06-03 00:27:41,,2025-06-03 00:28:23,9a4eb8d266,,
6v5rktws0a4bha6v5r3768jgd9oqjv8l,Brett Badner,Yes,Yes,No,Yes,Yes,Yes,Yes,completed,2025-06-02 18:41:49,,2025-06-02 18:42:32,37f71bd042,,
56z4uopxu9qidr3prespb56z4uoj34f9,vittorio and the bridges,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-06-02 15:26:02,,2025-06-02 15:26:39,e86b054a43,,
kpqw0y15af6xe8v7e8fkpq9tfhjvvbeh,vittorio and the bridges,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-06-02 15:25:03,,2025-06-02 15:25:50,e86b054a43,,
9gst0qq5c7vhp9gsu9djurnpnnvfqu9d,Dan Arwady,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-06-01 18:17:11,,2025-06-01 18:18:00,df226aa8e2,,
1xwu6fb87g2imx41xwui4xvcmmmtfmk5,Piet Shaw,Yes,Yes,Yes,Yes,Yes,Yes,No,completed,2025-05-31 22:38:15,,2025-05-31 22:41:51,2cbc1055d2,,
vkf86r0s42guh6c181zvkf86ukxh43j0,Pepous People,No,No,No,No,No,Yes,Yes,completed,2025-05-30 18:44:25,,2025-05-30 18:46:01,01e14a81ad,,
mp5n63kzwtt94t5f2pypmp5n62nk6tiu,ASXA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-05-29 15:06:55,,2025-05-29 15:07:29,7c916bbf29,,
nk3blhonvxnwyyfw4wnk3bm9hi7yhig0,Me Less,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-05-28 15:09:46,,2025-05-28 15:10:23,73ec700498,,
flrmlq2zhv9aixuzvflrmlfowqhk0v2g,Grammar,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-05-27 18:35:04,,2025-05-27 18:35:42,ae6787f7a8,,
zh9on5c3ediuizoos9g6zh9o3rwoj6iw,Grammar,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-05-27 18:34:03,,2025-05-27 18:34:53,ae6787f7a8,,
yv0390qidv5pdpiq5j2iyv039m0vwt2e,Celestial Skies,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-05-27 13:28:27,,2025-05-27 13:29:01,d93c2cd7f4,,
q5ontx9imok5fw0qq5ontx9ayvf2bx2i,ASXA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-05-23 16:05:44,,2025-05-23 16:06:45,10055b1aca,,
n6q5tcprg9dz8hpbhn6q5tk5bh4h1lzz,meelu,Yes,Yes,Yes,No,Yes,Yes,Yes,completed,2025-05-21 10:59:19,,2025-05-21 12:40:47,714c4f92c4,,
gjg771ah5dtwykg2f5zpgjg771avqg6u,WellBad,Yes,Yes,Yes,Yes,Yes,Yes,,completed,2025-05-16 06:12:06,,2025-05-16 06:12:59,480b946cab,,
lvlceaa4wyiouq5lv5gw48l3qvuyu04x,Matyas Moricz & The Echoes,Yes,,Yes,Yes,,Yes,,completed,2025-05-15 17:19:40,,2025-05-15 17:20:07,545544cb43,,
n0r8m57b3urij4eeylye24n0r8m5ivii,Andrea De Quintana,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-05-12 17:47:19,,2025-05-12 17:48:00,174df8af21,,
jhq7kwdvgok7j7hjhwchjhq7kwdvgynr,Claire Boyer,Yes,Yes,No,Yes,Yes,Yes,Yes,completed,2025-05-12 17:15:53,,2025-05-12 17:16:29,d3627a2302,,
4s26r8f4okvng968xiu240os94s26r8f,Morningless,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-05-06 12:39:48,,2025-05-06 12:40:08,03d370efeb,,
ielujaplcqv6xcdlouxfojqscsieluja,Morningless,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-05-06 12:38:46,,2025-05-06 12:39:30,03d370efeb,,
4ef7m8wrlwrtghnvfwvd4ef7m8ilaffm,Gerson Marta,Yes,Yes,Yes,Yes,Yes,Yes,,completed,2025-05-05 12:33:16,,2025-05-05 12:34:10,016c633c21,,
ij4ukice898omdjazij4uktesq5chny4,Reckless Bound,No,No,No,No,Yes,No,No,completed,2025-05-03 19:03:40,,2025-05-03 19:05:20,430e2d51e4,,
70m9lmdvti3qx4sc2i170m9lg5mf3ajs,Pretty Little Saturday,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-05-02 23:19:31,,2025-05-02 23:20:16,81fa3da179,,
w02ktupmrh04xw02k9oyc5x5mh83d8g3,Lost Individual,Yes,Yes,No,Yes,Yes,No,No,completed,2025-05-02 18:55:32,,2025-05-02 18:56:08,b65f2cf6ea,,
titrekriqgr1pouk64hptitrekbseq9a,Lost Individual,Yes,Yes,No,Yes,Yes,No,No,completed,2025-05-02 18:54:25,,2025-05-02 18:55:18,b65f2cf6ea,,
48v8lprpt8n11o48v1jvcst6jp7soqpu,13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-05-02 05:28:40,,2025-05-02 05:29:39,2714200c4c,,
ku8c2vnqntj6g8qlku8c2fofs646bhjz,Nick Austin,Yes,Yes,Yes,Yes,Yes,Yes,No,completed,2025-05-01 15:46:32,,2025-05-01 15:47:34,1ca5141fc0,,
nuh2iasi3hyykb1ynuh2213o7qgumkhi,Ian Mellencamp,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-05-01 03:35:52,,2025-05-01 03:36:24,22bbc9ed80,,
8rcvhxswrvoqv6qmpvow8rcvhxl6djz5,Gia Ivy,Yes,Yes,No,Yes,Yes,Yes,Yes,completed,2025-04-30 22:54:45,,2025-04-30 22:55:27,1ef9c04cff,,
vtg72b0ocua8zzb1d9vtgqoc8fedw66q,Charcom,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-04-30 20:02:41,,2025-04-30 20:03:11,eb8068a8e2,,
nfyrovu72vb57jo7q2jnfyrovq03ygqs,Axel Farden,Yes,No,No,Yes,Yes,Yes,Yes,completed,2025-04-30 18:53:55,,2025-04-30 18:54:54,bdb50d8156,,
d3iwoy2zotunvggec86ajud3iwoynlic,Silver Dust,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-04-29 21:16:48,,2025-04-29 21:17:28,b77bc9d9da,,
algnc8jw92talgtslfnxq1zp9cvfcats,Fleetwood Kelly,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-04-29 18:16:40,,2025-04-29 18:17:09,fabc89ef55,,
g70p5z684waiwro0vg70p5yzn1y3uu7u,Fleetwood Kelly,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-04-29 18:10:40,,2025-04-29 18:16:29,fabc89ef55,,
nuxm720dx150ss5qekpnuxm77bh2melv,Maklo & Peter,Yes,Yes,Yes,No,Yes,Yes,,completed,2025-04-25 18:20:32,,2025-04-25 18:21:41,e973666eb2,,
w1qr4qc3q7zsg9fumcawe2w1qre3g26d,kingsushii,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-04-25 00:33:47,,2025-04-25 00:34:23,a935bab8e5,,
8odjwjt13wnhev9fblg8odjwjte0z3hs,Brendan Pegg,Yes,Yes,Yes,Yes,No,Yes,Yes,completed,2025-04-24 18:03:54,,2025-04-24 18:06:31,ca5b620249,,
jvo31qakeg2lt4jmkjvo310wuifctnzd,Decades Late,Yes,Yes,Yes,Yes,,Yes,Yes,completed,2025-04-24 16:00:52,,2025-04-24 16:01:14,71e6ffd09b,,
a1ius1hnt7uwx8bnica1iu0tpbzl88kg,Decades Late,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-04-24 16:00:01,,2025-04-24 16:00:32,71e6ffd09b,,
d4krusq5qnzpg8ttc7d4kr9dnwdqwh7l,KOOB,Yes,Yes,No,No,No,Yes,Yes,completed,2025-04-24 15:48:43,,2025-04-24 15:49:36,94119ba1fd,,
7ylbtaqe0ywf66e9u7ylbtadjnzcww3l,Rol3ert,Yes,Yes,Yes,Yes,Yes,No,Yes,completed,2025-04-16 11:36:50,,2025-04-16 11:37:45,7113270ce1,,
pn5dqnktn2e5a38fwpn5dqnpltxus0gr,Collin Gibson,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-04-13 23:15:21,,2025-04-13 23:16:03,137ef38e3f,,
p32391z9uwezoctudxep32391z5maksr,Collin Gibson,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-04-11 01:23:57,,2025-04-11 01:26:15,137ef38e3f,,
3on473ozja3pv2ok4g13on473oznsqnf,KERI ELLE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-04-11 01:22:59,,2025-04-11 01:23:50,137ef38e3f,,
8j70fgpjc2k8x968j70fgpxe75id7njv,Frankie Always,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-04-08 16:29:42,,2025-04-08 16:30:15,4911d099dc,,
ulxq33hdmdthdosw46ksh7ulxq33half,Magno,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-04-08 02:53:33,,2025-04-08 02:54:01,463af21243,,
tifeiu7l9eukwm7v8q1a1atifeiun5ts,POSITIVEMAN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-04-04 16:45:38,,2025-04-04 16:46:22,551c088c7d,,
ergdjmqm885xkxsvtergdjmq825lx0bi,Eriika,Yes,Yes,No,Yes,Yes,Yes,Yes,completed,2025-04-04 00:13:37,,2025-04-04 00:14:04,f9ecb2fa44,,
l81j66k8bjpcg9zpadl81j66zirnwhhy,Magno,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-04-02 18:47:30,,2025-04-02 18:48:06,73765aa96f,,
t3jdbao46gd5y7egxnvit3jdba5o65p0,Aeolus White,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-04-02 06:32:03,,2025-04-02 06:32:35,3c99ff22a5,,
u61zy4hgngz6u6v7vtgf8sp8lag68fl2,Jeffers Insley,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-04-01 20:41:21,,2025-04-01 20:41:52,e0319617b6,,
17ppcdoqmjzky4317ppcrehjt5gvyd5y,Eriika,Yes,Yes,No,Yes,Yes,Yes,Yes,completed,2025-04-01 19:30:48,,2025-04-01 19:31:34,1236406061,,
qyysdnmtyik17rnqyy60m3w1we3v7zfc,Angie Brown,No,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-03-25 01:42:09,,2025-03-25 01:43:07,86a5c75eec,,
d2en9kl2g4vwau7led2er7y1shnrbsjp,DJ Renovation,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-03-24 22:27:45,,2025-03-24 22:28:15,be38bfbc25,,
56ccetsyhydz8l56ccbrb9iqvbn7cuge,Tom Hancock,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-03-21 13:58:41,,2025-03-21 13:59:07,65c579ccb3,,
swfuf5s7aeplqswf43tmd07qy2isk6qb,Etterna,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-03-20 20:22:25,,2025-03-20 20:22:58,4510a457c7,,
jvtf9b3y3ub5p1ejvtf7tqk63glsy3kj,Moniah,Yes,Yes,No,Yes,Yes,Yes,Yes,completed,2025-03-19 11:55:40,,2025-03-19 11:56:13,b8e217f9c2,,
jq65t99lzgtegyb8cjq65t8v1bj92ibn,Leon Seti,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-03-18 07:10:11,,2025-03-18 07:10:39,949b0c46e5,,
ufb9mybtzc6c0ax9ufb9myaovi4qq5yd,Soul de Vienne,No,No,No,No,No,No,No,completed,2025-03-12 18:09:38,,2025-03-12 18:10:20,51e5eaec9c,,
w6lpw3p7b1dts1w6lpcsbr7m41c7s1xa,1WEH THE FLOOD,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-03-11 19:31:43,,2025-03-11 19:32:46,ca61a2b5ee,,
2wd2orpi8er4cdwl2wd2i4rymfccc762,Waives x Reigns,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-03-11 13:28:39,,2025-03-11 13:29:08,771ace8dfe,,
3tuudaxdrzduz0r0yu3tuu53otmgwgft,Lilly Flower,Yes,Yes,No,Yes,Yes,Yes,Yes,completed,2025-03-10 22:07:20,,2025-03-10 22:07:49,8a510ad07d,,
a3f1s1cdm4uiamxlg5ya3f1s1c21ksex,Amber Tiara,Yes,Yes,No,Yes,Yes,Yes,Yes,completed,2025-03-08 13:02:52,,2025-03-08 13:03:52,026db1061f,,
tpoki31ykhztvjol6fatpokiivx357dm,Spaceman,Yes,Yes,Yes,Yes,Yes,Yes,Yes,completed,2025-03-05 22:13:40,,2025-03-05 22:14:16,d558d92489,,
s29en7vtshhwavz84thavyls29en73iy,Brittany Nacole,No,Yes,Yes,No,Yes,Yes,Yes,completed,2025-03-05 18:41:47,,2025-03-05 18:42:42,7de97fc649,,
